Ad;Kategori;Köken;KM;HP;NDF;ADF;NEL;ME;Ca;P;Mg;K;RDP;RUP;NPN;Fiyat;Vejetasyon;Notlar
Elma Posası;Kaba Yem;Türkiye;90;5;40;25;1.30;2.0;0.15;0.1;0.2;0.8;3;2;0;1.0;Sonbahar;Meyve yan ürünü
Melas (Şeker);Enerji Yemi;Türkiye;75;3;0;0;1.80;2.7;0.3;0.05;0.4;3.5;2;1;0;2.5;Yıl boyu;Yüksek şeker
Üre (NPN);Katkı;Yerli;100;281;0;0;0;0;0;0;0;0;0;0;281;4.0;Yıl boyu;NPN kaynağı
Amonyum Sülfat (NPN);Katkı;Yerli;100;21;0;0;0;0;0;0;0;0;0;0;21;2.0;Yıl boyu;NPN kaynağı
Kireçtaşı;Mineral;Yerli;100;0;0;0;0;0;38;0.02;0;0;0;0;0;0.5;Yıl boyu;Ca kaynağı
DCP (Dikalsiyum Fosfat);Mineral;Yerli;100;0;0;0;0;0;24;18;0;0;0;0;0;5.0;Yıl boyu;Ca+P kaynağı
Mono Kalsiyum Fosfat;Mineral;Yerli;100;0;0;0;0;0;17;22;0;0;0;0;0;4.5;Yıl boyu;P kaynağı
Magnezyum Oksit;Mineral;Yerli;100;0;0;0;0;0;0;0;55;0;0;0;0;2.0;Yıl boyu;Mg kaynağı
Tuz (NaCl);Mineral;Yerli;100;0;0;0;0;0;39;0;0;0;60;0;0;0.8;Yıl boyu;Na+Cl kaynağı
Kükürt;Mineral;Yerli;100;0;0;0;0;0;0;0;0;0;0;0;0;1.5;Yıl boyu;S kaynağı
Vitamin Premiks;Katkı;ABD;95;0;0;0;0;0;0;0;0;0;0;0;0;25.0;Yıl boyu;Vitamin A,D,E,K
Mineral Premiks;Mineral;ABD;95;0;0;0;0;0;10;5;3;2;5;0;0;15.0;Yıl boyu;Ca,P,Mg,Cu,Zn,Se
Sodyum Bikarbonat;Katkı;Yerli;100;0;0;0;0;0;27;0;0;0;20;0;0;2.5;Yıl boyu;Rumende缓冲区
Kalsiyum Propiyonat;Katkı;Yerli;100;0;0;0;0;0;22;0;0;0;0;0;0;8.0;Yıl boyu;Küflenme önleyici
Mayalar (Selekton);Katkı;ABD;95;40;0;0;0;0;0;0;0;0;0;0;0;15.0;Yıl boyu;Probiyotik
Aromatik Otlar;Katkı;Türkiye;85;8;20;10;1.2;1.8;0.5;0.2;0.15;0.5;5;3;0;5.0;Yaz;Doğal aroma
Probiyotik;Katkı;ABD;95;35;0;0;0;0;0;0;0;0;0;0;0;20.0;Yıl boyu;Flora dengeleyici
Enzim (Fitaz);Katkı;ABD;95;0;0;0;0;0;0;0;0;0;0;0;0;18.0;Yıl boyu;Fitat fosfor emilimi
AntiOksidan;Katkı;ABD;95;0;0;0;0;0;0;0;0;0;0;0;0;12.0;Yıl boyu;Raf ömrü uzatıcı
TMR Katkısı;Katkı;Yerli;90;5;15;8;1.4;2.1;0.2;0.15;0.1;0.3;3;2;0;3.0;Yıl boyu;Karıştırıcı
